部屋割りID,予約ID,部屋ID,部屋名,利用開始日,利用終了日,割当人数,男性人数,女性人数,子ども人数,小学生男,小学生女,3歳以上,3歳未満,表示用メモ,部屋割りメモ,作成日時,更新日時
RA-2026-0055,MANUAL-MT8,R01,理科室,2026/08/19,2026/08/20,40,5,5,30,15,15,0,0,,,2026/06/26 22:02,2026/06/26 22:04
RA-2026-0056,MANUAL-MT10,R01,理科室,2026/08/08,2026/08/09,25,5,5,15,7,8,0,0,,,2026/06/26 22:03,2026/06/26 22:03
RA-2026-0057,MANUAL-MT10,R03,高学年室,2026/08/08,2026/08/09,25,5,5,15,7,8,0,0,,,2026/06/26 22:03,2026/06/26 22:03
RA-2026-0058,MANUAL-MT10,R04,保健室,2026/08/08,2026/08/09,25,5,5,15,7,8,0,0,,,2026/06/26 22:03,2026/06/26 22:03
RA-2026-0059,MANUAL-MT10,R05,音楽室,2026/08/08,2026/08/09,25,5,5,15,7,8,0,0,,,2026/06/26 22:03,2026/06/26 22:03
RA-2026-0060,MIG-MT0011,R03,高学年室,2026/08/13,2026/08/14,11,5,5,1,0,1,0,0,,,2026/06/26 22:05,2026/06/26 22:05
RA-2026-0061,MANUAL-MT5,R03,高学年室,2026/08/11,2026/08/12,0,0,0,0,0,0,0,0,,,2026/06/26 22:06,2026/06/26 22:06
RA-2026-0064,MIG-MT0015,R03,高学年室,2026/08/16,2026/08/17,17,6,4,7,5,1,1,0,,,2026/06/26 22:07,2026/06/26 22:07
RA-2026-0065,MANUAL-MT9,R01,理科室,2026/08/22,2026/08/23,0,0,0,0,0,0,0,0,,,2026/06/26 22:08,2026/06/26 22:08
RA-2026-0066,MANUAL-MT9,R03,高学年室,2026/08/22,2026/08/23,0,0,0,0,0,0,0,0,,,2026/06/26 22:08,2026/06/26 22:08
RA-2026-0067,MANUAL-MT9,R04,保健室,2026/08/22,2026/08/23,0,0,0,0,0,0,0,0,,,2026/06/26 22:08,2026/06/26 22:08
RA-2026-0068,MANUAL-MT9,R05,音楽室,2026/08/22,2026/08/23,0,0,0,0,0,0,0,0,,,2026/06/26 22:08,2026/06/26 22:08
RA-2026-0069,MIG-MT0008,R01,理科室,2026/08/29,2026/08/30,25,10,15,0,0,0,0,0,,,2026/06/26 22:08,2026/06/26 22:08
RA-2026-0070,MIG-MT0008,R03,高学年室,2026/08/29,2026/08/30,25,10,15,0,0,0,0,0,,,2026/06/26 22:09,2026/06/26 22:09
RA-2026-0071,MIG-MT0008,R04,保健室,2026/08/29,2026/08/30,25,10,15,0,0,0,0,0,,,2026/06/26 22:09,2026/06/26 22:09
RA-2026-0072,MIG-MT0008,R05,音楽室,2026/08/29,2026/08/30,25,10,15,0,0,0,0,0,,,2026/06/26 22:09,2026/06/26 22:09
RA-2026-0073,STUDIO-MT150,R01,理科室,2026/09/23,2026/09/25,36,23,13,0,0,0,0,0,,,2026/06/26 22:09,2026/06/26 22:09
RA-2026-0074,STUDIO-MT150,R02,低学年室,2026/09/23,2026/09/25,36,23,13,0,0,0,0,0,,,2026/06/26 22:09,2026/06/26 22:09
RA-2026-0075,STUDIO-MT150,R03,高学年室,2026/09/23,2026/09/25,36,23,13,0,0,0,0,0,,,2026/06/26 22:09,2026/06/26 22:09
RA-2026-0076,STUDIO-MT150,R04,保健室,2026/09/23,2026/09/25,36,23,13,0,0,0,0,0,,,2026/06/26 22:09,2026/06/26 22:09
RA-2026-0077,STUDIO-MT150,R05,音楽室,2026/09/23,2026/09/25,36,23,13,0,0,0,0,0,,,2026/06/26 22:09,2026/06/26 22:09
RA-2026-0078,STUDIO-MT150,R06,図書室,2026/09/23,2026/09/25,36,23,13,0,0,0,0,0,,,2026/06/26 22:09,2026/06/26 22:09
RA-2026-0079,MIG-MT0003,R02,低学年室,2026/09/12,2026/09/13,10,9,1,0,0,0,0,0,,,2026/06/26 22:12,2026/06/26 22:12
RA-2026-0080,MIG-MT0020,R02,低学年室,2026/09/14,2026/09/15,0,6,3,0,0,0,0,0,,,2026/06/26 22:12,2026/06/26 22:12
RA-2026-0081,MIG-MT0003,R03,高学年室,2026/09/12,2026/09/13,10,9,1,0,0,0,0,0,,,2026/06/26 22:13,2026/06/26 22:13
RA-2026-0082,STUDIO-MT149,R01,理科室,2026/09/16,2026/09/18,22,16,6,0,0,0,0,0,,,2026/06/26 22:19,2026/06/26 22:19
RA-2026-0083,STUDIO-MT149,R02,低学年室,2026/09/16,2026/09/18,22,16,6,0,0,0,0,0,,,2026/06/26 22:19,2026/06/26 22:19
RA-2026-0084,STUDIO-MT149,R03,高学年室,2026/09/16,2026/09/18,22,16,6,0,0,0,0,0,,,2026/06/26 22:19,2026/06/26 22:19
RA-2026-0085,STUDIO-MT149,R04,保健室,2026/09/16,2026/09/18,22,16,6,0,0,0,0,0,,,2026/06/26 22:19,2026/06/26 22:19
RA-2026-0086,STUDIO-MT149,R05,音楽室,2026/09/16,2026/09/18,22,16,6,0,0,0,0,0,,,2026/06/26 22:19,2026/06/26 22:19
RA-2026-0087,MANUAL-MT13,R01,理科室,2026/07/18,2026/07/19,3,3,0,0,0,0,0,0,,,2026/07/02 17:29,2026/07/02 17:29
RA-2026-0088,MANUAL-MT13,R04,保健室,2026/07/18,2026/07/19,4,0,4,0,0,0,0,0,,,2026/07/02 17:30,2026/07/02 17:30
RA-2026-0092,MANUAL-MT20,R01,理科室,2026/07/12,2026/07/13,2,1,1,0,0,0,0,0,,,2026/07/04 17:54,2026/07/04 17:54
